"Motor Vehicles Currently Licensed by Type (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Cars","","","Rental Cars","","","Goods Service Vehicles Discontinued January 1991","","","Private Taxis","","","Public Taxis (Discontinued)","","","Omnibuses (after December 1989)","","","Service Coaches","","","Trailers (including Caravans)","","","Motor Cycles","","","Mopeds","","","Miscellaneous (Including Tractors)","","","Trade Plates - D (Discontinued)","","","Trade Plates - C (after December 1997)","","","Exempt Vehicles","","","Taxis","","","Omnibuses and Service Coaches","","","Light Trucks, Vans and Utilities (Discontinued after October 1995)","","","Heavy Trucks (Refer to V= Trucks)","","","Goods Service Cars Discontinued October 1993","","","Caravans (Starts 10.1993, Discontinued 10.1995)","","","Tractors (Starts October 1993)","","","Trucks (Starts November 1995)","","","Total Trade Plates Issued (Start Jan 1998.)","","","Total All Vehicles","",""
" ","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods"
"1993M07",1202721,349898,1552619,6709,1395,8104,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",34303,18134,52437,821,283,1104,"..","..","..",4383,0,4383,559,0,559,20310,984,21294,2389,1502,3891,7535,758,8293,214265,40642,254907,58829,6036,64865,1855,206,2061,"..","..","..","..","..","..","..","..","..","..","..","..",1913972,432532,2346504
"1993M08",1196520,351539,1548059,6665,1379,8044,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",33940,17575,51515,830,284,1114,"..","..","..",222,0,222,4698,0,4698,20341,957,21298,2385,1513,3898,7419,729,8148,214282,41002,255284,59157,6223,65380,1830,223,2053,"..","..","..","..","..","..","..","..","..","..","..","..",1908140,433235,2341375
"1993M09",1190907,354193,1545100,7456,1418,8874,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",34008,17802,51810,834,294,1128,"..","..","..",4392,0,4392,564,0,564,15910,733,16643,2394,1507,3901,7523,801,8324,216671,41372,258043,59638,6257,65895,1821,230,2051,"..","..","..","..","..","..","..","..","..","..","..","..",1902843,436429,2339272
"1993M10",1200137,364746,1564883,8625,1527,10152,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",344379,13808,358187,33725,19539,53264,830,310,1140,24247,796,25043,4437,0,4437,573,0,573,6166,507,6673,2390,1550,3940,7564,870,8434,218953,42798,261751,60327,6552,66879,"..","..","..",1102,15,1117,17923,599,18522,"..","..","..","..","..","..",1912353,453003,2365356
"1993M11",1203974,369755,1573729,9000,1645,10645,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",342141,16798,358939,33221,20888,54109,822,316,1138,23994,1065,25059,4457,0,4457,579,0,579,6172,493,6665,2411,1556,3967,7590,844,8434,220261,43828,264089,60537,6757,67294,"..","..","..",1144,18,1162,17663,835,18498,"..","..","..","..","..","..",1915159,463945,2379104
"1993M12",1211878,386264,1598142,9258,1879,11137,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",344671,23954,368625,33293,23017,56310,840,343,1183,23858,1359,25217,4565,0,4565,589,0,589,6168,489,6657,2464,1590,4054,7685,859,8544,222283,46157,268440,61138,7014,68152,"..","..","..",1166,16,1182,17524,1091,18615,"..","..","..","..","..","..",1928690,492925,2421615
"1994M01",1207738,382805,1590543,9425,1984,11409,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",342749,26147,368896,33150,23964,57114,827,344,1171,24166,1672,25838,4579,0,4579,590,0,590,6239,510,6749,2455,1496,3951,7668,834,8502,222249,45973,268222,61036,7066,68102,"..","..","..",1202,19,1221,17826,1197,19023,"..","..","..","..","..","..",1922871,492795,2415666
"1994M02",1210138,376522,1586660,9456,2080,11536,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",344848,26356,371204,33466,24038,57504,852,354,1206,24454,1835,26289,4597,0,4597,590,0,590,6262,525,6787,2515,1483,3998,7679,792,8471,223051,45189,268240,61239,7010,68249,"..","..","..",1215,20,1235,18095,1243,19338,"..","..","..","..","..","..",1929147,486184,2415331
"1994M03",1218531,381968,1600499,9347,2003,11350,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",348017,26093,374110,34071,23734,57805,889,367,1256,25281,1918,27199,4667,0,4667,592,0,592,6432,608,7040,2573,1506,4079,7837,820,8657,225308,46008,271316,61928,7017,68945,"..","..","..",1229,22,1251,18908,1265,20173,"..","..","..","..","..","..",1945473,492042,2437515
"1994M04",1220539,375631,1596170,8997,1854,10851,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",347747,23475,371222,34015,22025,56040,910,359,1269,25505,1765,27270,4690,0,4690,595,0,595,6451,611,7062,2588,1473,4061,7845,829,8674,226257,44740,270997,62132,6680,68812,"..","..","..",1241,21,1262,19115,1119,20234,"..","..","..","..","..","..",1948271,479442,2427713
"1994M05",1229320,372896,1602216,8461,1631,10092,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",349206,20357,369563,33989,20406,54395,947,356,1303,25568,1490,27058,4708,0,4708,596,0,596,6451,603,7054,2638,1481,4119,7899,795,8694,228098,44140,272238,62549,6369,68918,"..","..","..",1248,31,1279,19188,885,20073,"..","..","..","..","..","..",1960430,470524,2430954
"1994M06",1229379,361172,1590551,8429,1554,9983,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",349255,13132,362387,33524,18530,52054,954,345,1299,25557,1175,26732,4502,0,4502,560,0,560,6484,582,7066,2704,1421,4125,7906,804,8710,228417,42166,270583,62541,6049,68590,"..","..","..",1251,29,1280,19222,604,19826,"..","..","..","..","..","..",1960212,446930,2407142
"1994M07",1235161,363277,1598438,8446,1684,10130,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",350307,10737,361044,33325,17294,50619,966,334,1300,25609,872,26481,4682,0,4682,597,0,597,6500,594,7094,2751,1404,4155,7948,769,8717,230296,42574,272870,62804,5858,68662,"..","..","..",1265,30,1295,19275,517,19792,"..","..","..","..","..","..",1969392,445397,2414789
"1994M08",1238634,370262,1608896,8689,1647,10336,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",351958,10225,362183,33644,17348,50992,969,329,1298,25720,715,26435,4689,0,4689,584,0,584,6600,604,7204,2773,1437,4210,7985,728,8713,231846,43624,275470,63279,5867,69146,"..","..","..",1299,29,1328,19371,480,19851,"..","..","..","..","..","..",1977370,452786,2430156
"1994M09",1237370,369370,1606740,8956,1669,10625,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",352273,10121,362394,33420,17281,50701,974,344,1318,25784,645,26429,4752,0,4752,585,0,585,6484,557,7041,2801,1442,4243,8021,747,8768,232391,43488,275879,63566,5722,69288,"..","..","..",1324,28,1352,19458,468,19926,"..","..","..","..","..","..",1977377,451386,2428763
"1994M10",1230105,378972,1609077,9621,1836,11457,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",346020,11780,357800,32763,18027,50790,955,359,1314,25622,731,26353,4805,0,4805,592,0,592,6477,535,7012,2830,1453,4283,8091,745,8836,232003,44867,276870,63903,5880,69783,"..","..","..",1346,31,1377,19306,552,19858,"..","..","..","..","..","..",1963787,465185,2428972
"1994M11",1218019,386241,1604260,10369,2132,12501,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",342106,14452,356558,32082,18746,50828,954,365,1319,25539,971,26510,4819,0,4819,592,0,592,6488,550,7038,2806,1488,4294,8023,814,8837,230928,46156,277084,63903,6167,70070,"..","..","..",1375,20,1395,19213,737,19950,"..","..","..","..","..","..",1946628,478082,2424710
"1994M12",1235405,404010,1639415,11095,2263,13358,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",340818,21175,361993,32615,20832,53447,959,393,1352,25586,1323,26909,4978,0,4978,591,0,591,6522,587,7109,2861,1526,4387,8116,842,8958,234307,48385,282692,64580,6514,71094,"..","..","..",1416,24,1440,19225,994,20219,"..","..","..","..","..","..",1968433,507850,2476283
"1995M01",1239962,397570,1637532,11004,2242,13246,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",337617,23537,361154,32813,21525,54338,987,422,1409,25424,1595,27019,5000,0,5000,598,0,598,6510,569,7079,2859,1507,4366,8155,862,9017,234706,47854,282560,64625,6543,71168,"..","..","..",1465,21,1486,19089,1075,20164,"..","..","..","..","..","..",1970260,504226,2474486
"1995M02",1248322,389962,1638284,11288,2269,13557,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",339781,23892,363673,33394,21273,54667,1009,429,1438,25471,1666,27137,5038,0,5038,609,0,609,6645,574,7219,2905,1449,4354,8165,821,8986,236340,46894,283234,64748,6611,71359,"..","..","..",1542,21,1563,19129,1061,20190,"..","..","..","..","..","..",1983715,495840,2479555
"1995M03",1261099,386035,1647134,11220,2144,13364,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",338449,23516,361965,33700,20691,54391,1040,468,1508,25336,1660,26996,5105,0,5105,611,0,611,6665,588,7253,3000,1453,4453,8254,855,9109,238275,46052,284327,65059,6447,71506,"..","..","..",1631,23,1654,18978,1011,19989,"..","..","..","..","..","..",1997813,489909,2487722
"1995M04",1271545,368884,1640429,10937,1867,12804,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",337622,21595,359217,33712,19171,52883,1059,457,1516,25402,1540,26942,5144,0,5144,607,0,607,6722,623,7345,3021,1378,4399,8262,814,9076,239198,43519,282717,65121,6034,71155,"..","..","..",1703,24,1727,19048,907,19955,"..","..","..","..","..","..",2008352,465882,2474234
"1995M05",1289250,350059,1639309,10597,1612,12209,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",337271,18518,355789,33675,17376,51051,1071,449,1520,25555,1271,26826,5196,0,5196,612,0,612,6794,684,7478,3114,1369,4483,8192,832,9024,241003,40694,281697,65342,5397,70739,"..","..","..",1776,29,1805,19190,702,19892,"..","..","..","..","..","..",2027672,438261,2465933
"1995M06",1292594,336539,1629133,10429,1600,12029,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",335944,11415,347359,33249,14908,48157,1099,439,1538,25506,917,26423,5027,0,5027,568,0,568,6773,726,7499,3137,1398,4535,8320,740,9060,241190,38290,279480,65196,4878,70074,"..","..","..",1835,35,1870,19203,443,19646,"..","..","..","..","..","..",2029032,411850,2440882
"1995M07",1297813,331006,1628819,10241,2048,12289,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",335580,8787,344367,32657,13315,45972,1205,439,1644,18427,446,18873,5199,0,5199,598,0,598,6844,810,7654,3145,1422,4567,8367,465,8832,242346,37413,279759,64705,4589,69294,"..","..","..",1909,35,1944,12157,172,12329,"..","..","..","..","..","..",2034178,400925,2435103
"1995M08",1301844,326860,1628704,10671,1761,12432,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",334449,8163,342612,32118,12327,44445,1137,400,1537,25485,509,25994,5254,0,5254,596,0,596,6919,870,7789,3201,1410,4611,8376,683,9059,242313,36557,278870,65136,4284,69420,"..","..","..",1956,36,1992,19183,330,19513,"..","..","..","..","..","..",2037499,393824,2431323
"1995M09",1309476,329244,1638720,11233,1798,13031,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",335835,8567,344402,32263,12846,45109,1191,372,1563,25569,513,26082,5330,0,5330,614,0,614,7032,991,8023,3251,1397,4648,8415,708,9123,243928,36791,280719,65474,4296,69770,"..","..","..",2021,36,2057,19297,355,19652,"..","..","..","..","..","..",2049611,397523,2447134
"1995M10",1327949,325640,1653589,11375,1923,13298,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",333761,10470,344231,32681,13579,46260,1244,385,1629,25513,640,26153,5397,0,5397,614,0,614,7228,1073,8301,3299,1388,4687,8488,726,9214,247144,36464,283608,66048,4358,70406,"..","..","..",2069,39,2108,19269,456,19725,"..","..","..","..","..","..",2070741,396646,2467387
"1995M11",1239752,392535,1632287,11401,2556,13957,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",318780,17210,335990,28925,17468,46393,1211,569,1780,30002,2413,32415,5039,8,5047,583,0,583,9956,1310,11266,3667,1932,5599,8180,917,9097,"..","..","..","..","..","..","..","..","..","..","..","..",17211,792,18003,290917,51564,342481,"..","..","..",1948413,488482,2436895
"1995M12",1241762,396529,1638291,11564,2701,14265,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",318490,21584,340074,28736,18339,47075,1234,608,1842,30158,2701,32859,4737,8,4745,552,0,552,10076,1288,11364,3669,1950,5619,8197,934,9131,"..","..","..","..","..","..","..","..","..","..","..","..",17327,875,18202,291431,52073,343504,"..","..","..",1950606,498715,2449321
"1996M01",1239279,395521,1634800,11722,2839,14561,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",317761,24254,342015,28376,19457,47833,1279,652,1931,30180,3026,33206,5738,8,5746,660,0,660,10195,1306,11501,3697,1953,5650,8249,919,9168,"..","..","..","..","..","..","..","..","..","..","..","..",17334,952,18286,291279,51276,342555,"..","..","..",1948415,501211,2449626
"1996M02",1239521,397589,1637110,11521,3000,14521,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",317636,24795,342431,28042,20013,48055,1326,700,2026,30156,3172,33328,5821,0,5821,630,0,630,10290,1283,11573,3716,1988,5704,8230,960,9190,"..","..","..","..","..","..","..","..","..","..","..","..",17356,975,18331,291282,51311,342593,"..","..","..",1948171,504811,2452982
"1996M03",1237218,398500,1635718,11418,2976,14394,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",317836,24005,341841,27902,19294,47196,1385,717,2102,30029,3231,33260,5953,0,5953,650,0,650,10465,1200,11665,3711,2022,5733,8249,999,9248,"..","..","..","..","..","..","..","..","..","..","..","..",17339,963,18302,291368,50878,342246,"..","..","..",1946184,503822,2450006
"1996M04",1234441,419688,1654129,11254,2845,14099,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",317585,21928,339513,22040,16927,38967,7059,2449,9508,30041,3062,33103,5675,370,6045,632,23,655,10648,1155,11803,3732,2144,5876,8245,1023,9268,"..","..","..","..","..","..","..","..","..","..","..","..",17382,863,18245,291698,53266,344964,"..","..","..",1943050,524880,2467930
"1996M05",1219828,431005,1650833,11174,2752,13926,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",313207,18522,331729,21897,15747,37644,6957,2372,9329,29783,2800,32583,5352,860,6212,580,71,651,10794,1066,11860,3703,2198,5901,8178,1075,9253,"..","..","..","..","..","..","..","..","..","..","..","..",17416,626,18042,289581,54446,344027,"..","..","..",1921034,532914,2453948
"1996M06",1211740,427024,1638764,11108,2662,13770,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",309997,11370,321367,21729,14023,35752,6930,2217,9147,29772,2291,32063,5006,1649,6655,545,140,685,10956,1009,11965,3693,2186,5879,8167,1102,9269,"..","..","..","..","..","..","..","..","..","..","..","..",17407,441,17848,288118,53713,341831,"..","..","..",1907761,519386,2427147
"1996M07",1212594,445634,1658228,11018,2872,13890,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",308453,7906,316359,21723,12966,34689,6897,2131,9028,30109,1754,31863,3784,2505,6289,396,260,656,11163,1022,12185,3739,2280,6019,8330,1178,9508,"..","..","..","..","..","..","..","..","..","..","..","..",17514,373,17887,289403,56338,345741,"..","..","..",1907609,536846,2444455
"1996M08",1202701,459087,1661788,10826,3065,13891,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",304687,7073,311760,21572,12441,34013,6795,2122,8917,30157,1664,31821,3332,3057,6389,322,339,661,11302,1063,12365,3714,2400,6114,8327,1200,9527,"..","..","..","..","..","..","..","..","..","..","..","..",17621,339,17960,287815,58424,346239,"..","..","..",1891550,551935,2443485
"1996M09",1199969,471043,1671012,10803,3331,14134,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",303519,7306,310825,21583,13004,34587,6719,2153,8872,30230,1709,31939,2873,3533,6406,279,396,675,11398,1047,12445,3724,2474,6198,8364,1298,9662,"..","..","..","..","..","..","..","..","..","..","..","..",17728,357,18085,288091,59995,348086,"..","..","..",1887552,567289,2454841
"1996M10",1198654,477045,1675699,10837,3856,14693,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",297176,9373,306549,21558,14284,35842,6573,2244,8817,30115,2088,32203,2439,4017,6456,227,460,687,11538,1067,12605,3761,2496,6257,8421,1339,9760,"..","..","..","..","..","..","..","..","..","..","..","..",17628,504,18132,288059,60790,348849,"..","..","..",1879358,579059,2458417
"1996M11",1203262,485311,1688573,10748,3882,14630,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",299659,9581,309240,21678,14510,36188,6607,2282,8889,30247,2130,32377,2436,4015,6451,226,459,685,11601,1071,12672,3752,2529,6281,8464,1359,9823,"..","..","..","..","..","..","..","..","..","..","..","..",17709,517,18226,289487,61884,351371,"..","..","..",1888167,589013,2477180
"1996M12",1202941,500397,1703338,10838,4734,15572,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",291278,17074,308352,21494,16769,38263,6385,2421,8806,30028,3035,33063,2204,4013,6217,192,459,651,11709,1120,12829,3750,2561,6311,8491,1456,9947,"..","..","..","..","..","..","..","..","..","..","..","..",17584,861,18445,289523,64142,353665,"..","..","..",1878833,618181,2497014
"1997M01",1221091,505862,1726953,10978,4763,15741,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",286746,16746,303492,21242,16574,37816,6455,2431,8886,30060,2957,33017,2236,4073,6309,169,428,597,11607,1024,12631,3799,2566,6365,8629,1449,10078,"..","..","..","..","..","..","..","..","..","..","..","..",17652,843,18495,289154,63758,352912,"..","..","..",1892166,622631,2514797
"1997M02",1181436,518394,1699830,11236,4785,16021,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",283261,23738,306999,20700,19117,39817,6088,2620,8708,29678,3731,33409,6262,0,6262,684,0,684,11919,1193,13112,3750,2584,6334,8533,1507,10040,"..","..","..","..","..","..","..","..","..","..","..","..",17395,1029,18424,285992,65653,351645,"..","..","..",1849539,643322,2492861
"1997M03",1162517,512784,1675301,11259,4478,15737,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",279654,23717,303371,20108,18180,38288,5876,2549,8425,29370,3780,33150,6383,0,6383,700,0,700,11900,1233,13133,3647,2495,6142,8476,1521,9997,"..","..","..","..","..","..","..","..","..","..","..","..",17149,1027,18176,281384,65105,346489,"..","..","..",1821274,635842,2457116
"1997M04","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1997M05",1164399,535355,1699754,10851,3604,14455,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",283262,19428,302690,20237,15978,36215,5837,2387,8224,29708,3180,32888,6331,0,6331,701,0,701,12242,1297,13539,3641,2750,6391,8438,1647,10085,"..","..","..","..","..","..","..","..","..","..","..","..",17459,714,18173,272913,62084,334997,"..","..","..",1818560,647710,2466270
"1997M06",1158325,522529,1680854,10715,3102,13817,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",283781,12718,296499,20182,14270,34452,5782,2238,8020,29560,2710,32270,6319,346,6665,699,36,735,12242,1280,13522,3593,2719,6312,8448,1625,10073,"..","..","..","..","..","..","..","..","..","..","..","..",17411,485,17896,280843,65294,346137,"..","..","..",1820489,628867,2449356
"1997M07",1166319,539683,1706002,10612,3066,13678,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",286249,10242,296491,20327,13465,33792,5818,2117,7935,29689,2414,32103,6286,425,6711,697,45,742,12440,1368,13808,3647,2833,6480,8483,1717,10200,"..","..","..","..","..","..","..","..","..","..","..","..",17518,406,17924,282445,67610,350055,"..","..","..",1833012,644985,2477997
"1997M08",1165134,550686,1715820,10234,3104,13338,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",287248,9630,296878,20631,13616,34247,5841,2119,7960,29728,2263,31991,6265,524,6789,694,61,755,12541,1523,14064,3636,2921,6557,8543,1790,10333,"..","..","..","..","..","..","..","..","..","..","..","..",17535,386,17921,282337,69118,351455,"..","..","..",1832832,657355,2490187
"1997M09",1166987,556341,1723328,10022,3360,13382,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",287168,9758,296926,20892,14399,35291,5837,2143,7980,29749,2339,32088,6256,583,6839,691,74,765,12589,1506,14095,3622,2917,6539,8588,1773,10361,"..","..","..","..","..","..","..","..","..","..","..","..",17535,384,17919,283024,69885,352909,"..","..","..",1835425,665078,2500503
"1997M10",1169956,555218,1725174,9894,3869,13763,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",286448,11863,298311,21020,15324,36344,5777,2157,7934,29828,2659,32487,6237,665,6902,686,97,783,12730,1529,14259,3633,2949,6582,8659,1783,10442,"..","..","..","..","..","..","..","..","..","..","..","..",17477,567,18044,283639,69864,353503,"..","..","..",1838507,667977,2506484
"1997M11",1141532,514366,1655898,9410,4193,13603,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",273130,12548,285678,20534,14935,35469,5551,2035,7586,28777,2705,31482,6226,681,6907,684,105,789,12490,1418,13908,3440,2759,6199,8435,1650,10085,"..","..","..","..","..","..","..","..","..","..","..","..",16605,639,17244,276204,64739,340943,"..","..","..",1786413,622134,2408547
"1997M12",1069711,433115,1502826,9542,3944,13486,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",235666,11739,247405,19092,13629,32721,5110,1803,6913,26514,2498,29012,6219,681,6900,684,106,790,11710,1263,12973,3186,2356,5542,8038,1536,9574,"..","..","..","..","..","..","..","..","..","..","..","..",14880,669,15549,258682,54633,313315,"..","..","..",1654154,527303,2181457
"1998M01",1190799,565664,1756463,9609,5393,15002,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",292741,23258,315999,22909,18538,41447,5883,2427,8310,31109,3271,34380,"..","..","..","..","..","..",5861,620,6481,3674,2906,6580,8941,1806,10747,"..","..","..","..","..","..","..","..","..","..","..","..",18805,1051,19856,289663,70386,360049,"..","..",6684,1861189,694269,2555458
"1998M02",1196571,577602,1774173,9647,5467,15114,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",293065,23957,317022,23471,18541,42012,5934,2443,8377,31122,3332,34454,"..","..","..","..","..","..",5847,667,6514,3668,2929,6597,9037,1765,10802,"..","..","..","..","..","..","..","..","..","..","..","..",18771,1083,19854,291500,71306,362806,"..","..",6879,1869862,708009,2577871
"1998M03",1198581,548078,1746659,9609,5353,14962,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",293150,23599,316749,24104,15026,39130,6057,2074,8131,31091,3029,34120,"..","..","..","..","..","..",5825,705,6530,3649,2920,6569,9097,1744,10841,"..","..","..","..","..","..","..","..","..","..","..","..",18646,1096,19742,291923,65959,357882,"..","..",6979,1873086,668487,2541573
"1998M04",1198197,551272,1749469,9378,4910,14288,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",295189,21366,316555,24210,14664,38874,6060,2068,8128,31159,2943,34102,"..","..","..","..","..","..",5826,693,6519,3630,2911,6541,9116,1742,10858,"..","..","..","..","..","..","..","..","..","..","..","..",18733,1049,19782,291498,66105,357603,"..","..",7066,1874263,668674,2542937
"1998M05","..",562717,1764828,9104,4406,13510,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",296187,18794,314981,24540,14369,38909,6084,2018,8102,31107,2770,33877,"..","..","..","..","..","..",5876,656,6532,3619,2964,6583,9186,1765,10951,"..","..","..","..","..","..","..","..","..","..","..","..",18711,925,19636,292554,67549,360103,"..","..",7154,1880368,678008,2558376
"1998M06","..",559404,1762813,8900,4254,13154,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",297284,11467,308751,24765,13386,38151,6081,1953,8034,31119,2492,33611,"..","..","..","..","..","..",5879,469,6348,3586,2986,6572,9150,1800,10950,"..","..","..","..","..","..","..","..","..","..","..","..",18774,718,19492,292673,66738,359411,"..","..",7201,1882846,664949,2547795
"1998M07",1205244,561035,1766279,8606,3989,12595,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",299538,9452,308990,25097,12969,38066,6022,1905,7927,31086,2454,33540,"..","..","..","..","..","..",5923,305,6228,3563,3023,6586,9206,1802,11008,"..","..","..","..","..","..","..","..","..","..","..","..",18798,674,19472,291919,67132,359051,"..","..",7301,1886204,664066,2550270
"1998M08",1214674,582381,1797055,8672,4132,12804,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",302583,8989,311572,25491,13140,38631,6058,1917,7975,31007,2604,33611,"..","..","..","..","..","..",5959,259,6218,3582,3153,6735,9321,1771,11092,"..","..","..","..","..","..","..","..","..","..","..","..",18693,658,19351,294290,69854,364144,"..","..",7376,1901637,688200,2589837
"1998M09",1196097,573262,1769359,9019,4364,13383,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",305332,9655,314987,23488,12871,36359,5585,1844,7429,30955,2597,33552,"..","..","..","..","..","..",5973,217,6190,3584,3185,6769,9299,1776,11075,"..","..","..","..","..","..","..","..","..","..","..","..",18764,622,19386,288226,68978,357204,"..","..",7460,1877558,678749,2556307
"1998M10",1206174,595523,1801697,9502,5079,14581,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",306793,11991,318784,24223,14557,38780,5616,1989,7605,31231,2810,34041,"..","..","..","..","..","..",5989,241,6230,3575,3328,6903,9393,1870,11263,"..","..","..","..","..","..","..","..","..","..","..","..",18876,630,19506,291377,72096,363473,"..","..",7573,1893873,709484,2603357
"1998M11",1210202,603915,1814117,9986,5783,15769,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",309210,15022,324232,24774,15773,40547,5632,2092,7724,31361,3102,34463,"..","..","..","..","..","..",6020,279,6299,3578,3420,6998,9461,1929,11390,"..","..","..","..","..","..","..","..","..","..","..","..",18902,783,19685,292371,73323,365694,"..","..",7559,1902595,724638,2627233
"1998M12",1210834,613766,1824600,10385,6754,17139,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",311522,21837,333359,25031,17125,42156,5618,2199,7817,31550,3514,35064,"..","..","..","..","..","..",6077,424,6501,3623,3470,7093,9493,2005,11498,"..","..","..","..","..","..","..","..","..","..","..","..",18920,933,19853,292661,74491,367152,"..","..",7564,1906794,745585,2652379
"1999M01",1213776,624336,1838112,10381,7001,17382,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",312343,23982,336325,25474,17908,43382,5602,2274,7876,31547,3635,35182,"..","..","..","..","..","..",6092,561,6653,3621,3492,7113,9562,2019,11581,"..","..","..","..","..","..","..","..","..","..","..","..",18850,989,19839,293629,75500,369129,"..","..",7022,1912027,760708,2672735
