"Motor Vehicles Currently Licensed by Type (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Cars","","","Rental Cars","","","Goods Service Vehicles Discontinued January 1991","","","Private Taxis","","","Public Taxis (Discontinued)","","","Omnibuses (after December 1989)","","","Service Coaches","","","Trailers (including Caravans)","","","Motor Cycles","","","Mopeds","","","Miscellaneous (Including Tractors)","","","Trade Plates - D (Discontinued)","","","Trade Plates - C (after December 1997)","","","Exempt Vehicles","","","Taxis","","","Omnibuses and Service Coaches","","","Light Trucks, Vans and Utilities (Discontinued after October 1995)","","","Heavy Trucks (Refer to V= Trucks)","","","Goods Service Cars Discontinued October 1993","","","Caravans (Starts 10.1993, Discontinued 10.1995)","","","Tractors (Starts October 1993)","","","Trucks (Starts November 1995)","","","Total Trade Plates Issued (Start Jan 1998.)","","","Total All Vehicles","",""
" ","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods"
"1989M01",1265978,163258,1429236,7519,427,7946,271419,18901,290320,429,62,491,2036,237,2273,6959,240,7199,1235,41,1276,"..","..","..",63288,24679,87967,959,176,1135,"..","..","..",4781,0,4781,281,0,281,7574,548,8122,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1965892,236891,2202783
"1989M02",1266378,159358,1425736,7607,431,8038,270542,18605,289147,434,63,497,2012,242,2254,6901,237,7138,1162,38,1200,"..","..","..",64428,25101,89529,1000,188,1188,"..","..","..",4876,0,4876,280,0,280,7573,402,7975,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1976595,233189,2209784
"1989M03",1267466,163339,1430805,7434,465,7899,270534,18691,289225,437,65,502,1989,271,2260,6858,296,7154,1153,66,1219,"..","..","..",65267,24192,89459,1017,194,1211,"..","..","..",5010,0,5010,282,0,282,7608,296,7904,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1981748,235511,2217259
"1989M04",1274347,172812,1447159,7205,471,7676,271153,19254,290407,447,70,517,1978,289,2267,6880,306,7186,1148,72,1220,"..","..","..",65910,22823,88733,1034,186,1220,"..","..","..",5108,0,5108,281,0,281,7555,242,7797,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1991379,239749,2231128
"1989M05",1261187,174117,1435304,6890,446,7336,267370,19250,286620,455,71,526,1919,281,2200,6868,328,7196,1129,69,1198,"..","..","..",65348,21033,86381,1035,174,1209,"..","..","..",5136,0,5136,282,0,282,7426,229,7655,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1971702,234789,2206491
"1989M06",1262025,176469,1438494,5459,367,5826,264193,19134,283327,497,65,562,1911,304,2215,6772,321,7093,1137,46,1183,"..","..","..",64413,19470,83883,1004,156,1160,"..","..","..",4175,0,4175,213,0,213,7160,228,7388,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1960467,227641,2188108
"1989M07",1251651,188757,1440408,6182,822,7004,264638,20403,285041,501,70,571,1874,342,2216,6933,322,7255,1159,49,1208,"..","..","..",63449,18229,81678,995,151,1146,"..","..","..",4893,0,4893,255,0,255,7138,183,7321,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1981897,242296,2224193
"1989M08",1255262,184666,1439928,6165,842,7007,264420,19807,284227,495,73,568,1893,329,2222,6111,311,6422,1165,46,1211,"..","..","..",63835,18545,82380,993,153,1146,"..","..","..",4810,0,4810,243,0,243,7138,212,7350,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1969218,235909,2205127
"1989M09",1257047,192559,1449606,6429,723,7152,266052,20831,286883,499,80,579,1863,368,2231,6884,315,7199,1170,41,1211,"..","..","..",62717,18517,81234,989,143,1132,"..","..","..",4968,0,4968,254,0,254,7076,171,7247,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1986496,246584,2233080
"1989M10",1284518,199875,1484393,6745,710,7455,271991,21551,293542,510,88,598,1906,391,2297,7144,351,7495,1184,47,1231,"..","..","..",60867,19892,80759,981,164,1145,"..","..","..",5030,0,5030,255,0,255,7056,163,7219,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2014548,258810,2273358
"1989M11",1297311,199743,1497054,6924,671,7595,273524,21931,295455,512,84,596,1911,375,2286,7154,341,7495,1192,42,1234,"..","..","..",58304,21478,79782,963,196,1159,"..","..","..",5081,0,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2284459
"1989M12",1290229,200732,1490961,7515,778,8293,273148,22452,295600,505,89,594,1898,376,2274,7154,363,7517,1197,38,1235,"..","..","..",56603,22964,79567,940,214,1154,"..","..","..",5186,0,5186,259,0,259,6895,155,7050,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2007360,275048,2282408
"1990M01",1299833,204731,1504564,7728,792,8520,270447,23039,293486,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",55755,24548,80303,921,222,1143,"..","..","..",5310,0,5310,260,0,260,12379,393,12772,2426,465,2891,8327,385,8712,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2026232,284879,2311111
"1990M02",1286658,203663,1490321,7693,809,8502,271634,23090,294724,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",56737,24687,81424,955,240,1195,"..","..","..",5048,0,5048,611,0,611,7498,198,7696,2416,452,2868,8107,357,8464,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2014220,283903,2298123
"1990M03",1281623,207715,1489338,7437,878,8315,271698,23624,295322,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",56714,24399,81113,979,234,1213,"..","..","..",5007,0,5007,611,0,611,7524,187,7711,2400,475,2875,8034,331,8365,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2012427,287804,2300231
"1990M04",1274138,212837,1486975,7169,765,7934,270197,23778,293975,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",56031,22821,78852,992,224,1216,"..","..","..",5044,0,5044,607,0,607,7441,190,7631,2389,517,2906,7981,316,8297,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2004128,288018,2292146
"1990M05",1275300,216564,1491864,6786,657,7443,267377,23976,291353,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",54657,21166,75823,993,208,1201,"..","..","..",5114,0,5114,612,0,612,11840,337,12177,2398,506,2904,7943,302,8245,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2007310,285305,2292615
"1990M06",1266183,218767,1484950,5155,533,5688,262733,24211,286944,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",54079,19851,73930,999,209,1208,"..","..","..",4263,0,4263,476,0,476,11311,306,11617,2364,525,2889,7630,304,7934,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1987369,278534,2265903
"1990M07",1262709,226627,1489336,5871,958,6829,265214,25056,290270,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",53516,18782,72298,1013,196,1209,"..","..","..",4922,0,4922,561,0,561,11411,277,11688,2411,557,2968,7778,296,8074,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1991180,284043,2275223
"1990M08",1251179,236641,1487820,5947,954,6901,264435,26339,290774,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",52680,18641,71321,1009,182,1191,"..","..","..",5017,0,5017,568,0,568,11317,291,11608,2487,558,3045,7672,306,7978,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1977978,294579,2272557
"1990M09",1254940,240499,1495439,6237,869,7106,265774,26905,292679,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",51972,18980,70952,986,184,1170,"..","..","..",5068,0,5068,574,0,574,11226,326,11552,2525,570,3095,7539,295,7834,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1979473,299477,2278950
"1990M10",1276154,254585,1530739,6639,915,7554,270789,28557,299346,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",50998,20816,71814,982,207,1189,"..","..","..",5123,0,5123,571,0,571,11179,337,11516,2573,588,3161,7672,342,8014,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2000278,320138,2320416
"1990M11",1287350,256343,1543693,6950,976,7926,273094,29118,302212,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",50175,22394,72569,982,222,1204,"..","..","..",5053,0,5053,581,0,581,10997,359,11356,2607,561,3168,7543,391,7934,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2009950,327856,2337806
"1990M12",1278902,266660,1545562,7115,1202,8317,272428,30305,302733,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",49072,24316,73388,974,216,1190,"..","..","..",4958,0,4958,580,0,580,11012,397,11409,2612,583,3195,7551,387,7938,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1994740,349973,2344713
"1991M01",1290790,268883,1559673,7038,1191,8229,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",49653,25294,74947,981,234,1215,"..","..","..",4955,0,4955,585,0,585,11805,486,12291,2642,604,3246,7576,383,7959,212016,25786,237802,59814,4819,64633,2495,132,2627,"..","..","..","..","..","..","..","..","..","..","..","..",2014537,356127,2370664
"1991M02",1283650,266714,1550364,7276,1128,8404,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",49601,25344,74945,1012,242,1254,"..","..","..",4945,0,4945,586,0,586,12085,543,12628,2659,607,3266,6886,757,7643,210637,25765,236402,59588,4945,64533,2211,93,2304,"..","..","..","..","..","..","..","..","..","..","..","..",2009343,354992,2364335
"1991M03",1276762,263047,1539809,7121,1162,8283,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",49219,24327,73546,985,222,1207,"..","..","..",4899,0,4899,595,0,595,20379,1155,21534,2647,603,3250,6795,711,7506,208910,25742,234652,59270,4879,64149,2285,92,2377,"..","..","..","..","..","..","..","..","..","..","..","..",1998495,349915,2348410
"1991M04",1273788,265507,1539295,6641,1103,7744,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",49000,22598,71598,997,212,1209,"..","..","..",4899,0,4899,586,0,586,23449,1147,24596,2647,668,3315,6852,728,7580,208989,25991,234980,59164,4898,64062,2296,88,2384,"..","..","..","..","..","..","..","..","..","..","..","..",1999929,347591,2347520
"1991M05",1276550,270193,1546743,6085,945,7030,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",48553,21466,70019,1010,203,1213,"..","..","..",5250,0,5250,233,0,233,23347,959,24306,2653,731,3384,6662,586,7248,209816,26517,236333,59172,4886,64058,2249,90,2339,"..","..","..","..","..","..","..","..","..","..","..","..",2003882,347114,2350996
"1991M06",1264958,266388,1531346,5645,835,6480,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",48035,19989,68024,1004,215,1219,"..","..","..",4349,0,4349,510,0,510,22836,747,23583,2640,759,3399,6624,623,7247,206710,26525,233235,57551,4857,62408,2230,95,2325,"..","..","..","..","..","..","..","..","..","..","..","..",1983794,334883,2318677
"1991M07",1263004,269074,1532078,5365,1091,6456,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",47633,18347,65980,998,198,1196,"..","..","..",4625,0,4625,535,0,535,22898,689,23587,2628,813,3441,5974,552,6526,207966,27089,235055,57827,4780,62607,2231,105,2336,"..","..","..","..","..","..","..","..","..","..","..","..",1983780,333831,2317611
"1991M08",1255959,272455,1528414,5331,1047,6378,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",49205,18193,67398,1015,195,1210,"..","..","..",4626,0,4626,549,0,549,16509,399,16908,2597,850,3447,6677,549,7226,209753,28051,237804,58185,4862,63047,2217,105,2322,"..","..","..","..","..","..","..","..","..","..","..","..",1976584,337258,2313842
"1991M09",1264738,269907,1534645,5540,1010,6550,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",49140,18688,67828,1013,199,1212,"..","..","..",4663,0,4663,561,0,561,16331,410,16741,2593,854,3447,6572,588,7160,211185,28161,239346,58322,4908,63230,2276,117,2393,"..","..","..","..","..","..","..","..","..","..","..","..",1985475,335562,2321037
"1991M10",1275052,276969,1552021,6168,1084,7252,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",47614,20317,67931,995,195,1190,"..","..","..",4654,0,4654,555,0,555,16046,483,16529,2612,933,3545,6736,632,7368,213793,29178,242971,58852,5219,64071,2291,128,2419,"..","..","..","..","..","..","..","..","..","..","..","..",1993463,348879,2342342
"1991M11",1274685,274649,1549334,6332,1132,7464,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",44437,20987,65424,969,212,1181,"..","..","..",4543,0,4543,550,0,550,21903,858,22761,2590,936,3526,6767,614,7381,211552,29205,240757,58525,5303,63828,2274,132,2406,"..","..","..","..","..","..","..","..","..","..","..","..",1986724,350525,2337249
"1991M12",1260361,280286,1540647,6711,1133,7844,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",43211,22765,65976,938,222,1160,"..","..","..",4562,0,4562,560,0,560,21448,1043,22491,2609,926,3535,6782,601,7383,210641,31357,241998,58249,5572,63821,2287,134,2421,"..","..","..","..","..","..","..","..","..","..","..","..",1966908,368613,2335521
"1992M01",1262974,284886,1547860,6935,1137,8072,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",43052,23869,66921,938,247,1185,"..","..","..",4583,0,4583,563,0,563,21426,1143,22569,2605,975,3580,6817,592,7409,211811,31582,243393,58420,5801,64221,2295,136,2431,"..","..","..","..","..","..","..","..","..","..","..","..",1974296,377632,2351928
"1992M02",1260973,290556,1551529,7288,1197,8485,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",43072,23933,67005,948,282,1230,"..","..","..",4584,0,4584,564,0,564,21584,1203,22787,2579,1001,3580,6681,581,7262,211756,31553,243309,58470,5888,64358,2299,143,2442,"..","..","..","..","..","..","..","..","..","..","..","..",1979033,384129,2363162
"1992M03",1250294,292618,1542912,7319,1119,8438,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",42502,22940,65442,937,297,1234,"..","..","..",4588,0,4588,574,0,574,21564,1191,22755,2527,1045,3572,6723,605,7328,211103,31541,242644,58444,5849,64293,2208,145,2353,"..","..","..","..","..","..","..","..","..","..","..","..",1967360,384508,2351868
"1992M04",1247818,296309,1544127,7073,965,8038,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",42021,21784,63805,930,300,1230,"..","..","..",4583,0,4583,571,0,571,21545,1121,22666,2518,1069,3587,6748,612,7360,210877,31769,242646,58371,5750,64121,2224,147,2371,"..","..","..","..","..","..","..","..","..","..","..","..",1966027,384482,2350509
"1992M05",1248553,299767,1548320,6662,868,7530,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",41412,20297,61709,898,300,1198,"..","..","..",4588,0,4588,573,0,573,21470,1038,22508,2508,1115,3623,6789,589,7378,211758,32011,243769,58430,5523,63953,2087,158,2245,"..","..","..","..","..","..","..","..","..","..","..","..",1967537,382634,2350171
"1992M06",1230359,292872,1523231,5801,779,6580,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",40597,18589,59186,897,283,1180,"..","..","..",4089,0,4089,487,0,487,21032,918,21950,2388,1111,3499,6638,603,7241,207692,31361,239053,56841,5508,62349,1992,165,2157,"..","..","..","..","..","..","..","..","..","..","..","..",1938237,366066,2304303
"1992M07",1229886,302937,1532823,5925,1061,6986,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",39737,17307,57044,880,272,1152,"..","..","..",4391,0,4391,541,0,541,21128,851,21979,2431,1225,3656,6737,600,7337,209717,32948,242665,58023,5361,63384,1985,181,2166,"..","..","..","..","..","..","..","..","..","..","..","..",1943166,373716,2316882
"1992M08",1213322,304635,1517957,6010,1045,7055,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",38826,16629,55455,848,249,1097,"..","..","..",4322,0,4322,542,0,542,20949,789,21738,2404,1228,3632,6665,554,7219,207798,33401,241199,57479,5371,62850,1929,181,2110,"..","..","..","..","..","..","..","..","..","..","..","..",1921378,374330,2295708
"1992M09",1198011,310585,1508596,6198,1064,7262,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",37209,17135,54344,844,263,1107,"..","..","..",4317,0,4317,555,0,555,20714,785,21499,2377,1253,3630,7202,624,7826,206624,34148,240772,57313,5405,62718,1889,192,2081,"..","..","..","..","..","..","..","..","..","..","..","..",1899563,381975,2281538
"1992M10",1206290,320492,1526782,6722,1148,7870,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36798,18777,55575,843,265,1108,"..","..","..",4372,0,4372,560,0,560,20610,844,21454,2386,1275,3661,7365,627,7992,208740,35488,244228,57899,5746,63645,1894,195,2089,"..","..","..","..","..","..","..","..","..","..","..","..",1907890,397788,2305678
"1992M11",1218952,335143,1554095,7556,1281,8837,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36759,21301,58060,836,300,1136,"..","..","..",4376,0,4376,558,0,558,20529,961,21490,2414,1348,3762,7422,661,8083,211708,37351,249059,58638,6232,64870,1908,219,2127,"..","..","..","..","..","..","..","..","..","..","..","..",1926120,422147,2348267
"1992M12",1218484,344586,1563070,7630,1366,8996,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36441,23082,59523,828,320,1148,"..","..","..",4416,0,4416,563,0,563,20489,1105,21594,2417,1347,3764,7452,694,8146,212369,38907,251276,58858,6572,65430,1899,222,2121,"..","..","..","..","..","..","..","..","..","..","..","..",1926596,443019,2369615
"1993M01",1216234,345722,1561956,8297,1424,9721,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36299,24248,60547,819,338,1157,"..","..","..",4415,0,4415,568,0,568,20410,1168,21578,2408,1354,3762,7459,708,8167,212885,39586,252471,58851,6729,65580,1913,224,2137,"..","..","..","..","..","..","..","..","..","..","..","..",1924929,449306,2374235
"1993M02",1212963,346940,1559903,8306,1599,9905,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36071,24708,60779,817,337,1154,"..","..","..",4416,0,4416,567,0,567,20388,1223,21611,2403,1384,3787,7387,740,8127,212918,40035,252953,58817,6860,65677,1902,221,2123,"..","..","..","..","..","..","..","..","..","..","..","..",1922795,452665,2375460
"1993M03",1211990,350144,1562134,8102,1529,9631,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36049,24050,60099,821,325,1146,"..","..","..",4460,0,4460,573,0,573,20435,1241,21676,2375,1428,3803,7471,756,8227,213641,40691,254332,59003,6948,65951,1907,210,2117,"..","..","..","..","..","..","..","..","..","..","..","..",1923767,455650,2379417
"1993M04",1208242,352150,1560392,7446,1542,8988,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",35538,22287,57825,830,315,1145,"..","..","..",4465,0,4465,573,0,573,20459,1215,21674,2356,1481,3837,7489,756,8245,213524,40899,254423,59018,6670,65688,1888,209,2097,"..","..","..","..","..","..","..","..","..","..","..","..",1919194,453226,2372420
"1993M05",1210586,353799,1564385,6777,1472,8249,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",35257,21075,56332,812,311,1123,"..","..","..",4488,0,4488,576,0,576,20482,1149,21631,2394,1501,3895,7488,755,8243,214595,40996,255591,59214,6394,65608,1889,207,2096,"..","..","..","..","..","..","..","..","..","..","..","..",1923523,450376,2373899
"1993M06",1204042,349172,1553214,6573,1364,7937,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",34797,19342,54139,819,302,1121,"..","..","..",4201,0,4201,512,0,512,20327,1022,21349,2389,1510,3899,7462,757,8219,213537,40336,253873,58943,6198,65141,1851,216,2067,"..","..","..","..","..","..","..","..","..","..","..","..",1913777,435575,2349352
