date.quarter,ocr_quarter,CPI,HPI,ump_rate,usd_rate_quarter,cny_rate_quarter,tourism_count,exports_total_gross_in_tonnes,imports_total_gross_in_tonnes
1999-03,4.5,-0.09,699,7.6,0.5383333333333333,4.457178333333333,470759,5182684,3313467
1999-06,4.5,-0.36,703,7.4,0.5426666666666667,4.496075333333334,299030,5274077,3188184
1999-09,4.5,-0.51,704,7.0,0.5253333333333333,4.3492006666666665,330065,5697954,3454552
1999-12,4.666666666666667,0.51,704,6.5,0.512,4.235615,507624,5391190,3441761
2000-03,5.583333333333333,1.49,703,6.6,0.49866666666666665,4.119026666666667,515170,5215895,3367151
2000-06,6.333333333333333,2,696,6.4,0.47933333333333333,3.961808,340265,6039979,3336383
2000-09,6.5,2.99,696,6.1,0.442,3.6513626666666665,361686,5168730,3541003
2000-12,6.5,3.98,696,5.9,0.4093333333333333,3.394743666666667,571957,5568199,3645498
2001-03,6.458333333333333,3.06,700,5.6,0.43333333333333335,3.579958,574432,5526481,3567689
2001-06,5.958333333333333,3.24,698,5.5,0.41466666666666663,3.4287063333333334,376401,6258459,3407633
2001-09,5.666666666666667,2.42,705,5.5,0.42,3.47432,412438,6026400,3918919
2001-12,5.083333333333333,1.82,717,5.6,0.41533333333333333,3.436379666666667,546538,6281897,3734857
2002-03,4.791666666666667,2.59,736,5.4,0.42533333333333334,3.518721,619454,5705519,4001090
2002-06,5.291666666666667,2.75,751,5.3,0.4643333333333333,3.841362666666667,377272,6657057,3791726
2002-09,5.708333333333333,2.64,774,5.6,0.472,3.906587,421513,6413496,4129044
2002-12,5.75,2.72,801,5.1,0.496,4.105369,626723,6498840,4074431
2003-03,5.75,2.52,844,5.1,0.5493333333333333,4.546490333333333,636915,6031191,3996177
2003-06,5.541666666666667,1.48,873,4.9,0.5693333333333334,4.716418,365143,6392504,3955461
2003-09,5,1.47,938,4.6,0.584,4.830319333333334,429335,5624681,4420246
2003-12,5,1.55,1000,4.8,0.6253333333333333,5.174042333333333,674836,5278343,4482298
2004-03,5.166666666666667,1.55,1046,4.3,0.675,5.597043666666666,694113,5793185,4161805
2004-06,5.458333333333333,2.37,1078,4.2,0.629,5.213208333333333,451907,5892403,4641805
2004-09,6,2.54,1094,4.0,0.6533333333333333,5.402182333333333,486614,5334025,4568385
2004-12,6.5,2.7,1131,3.8,0.6986666666666667,5.782267333333333,715038,5444128,5238854
2005-03,6.541666666666667,2.78,1172,3.9,0.7163333333333333,5.931046,734104,5190610,4551003
2005-06,6.75,2.85,1230,3.9,0.7156666666666667,5.924803666666667,468012,5925428,4805443
2005-09,6.75,3.36,1258,3.8,0.6913333333333334,5.63194,482863,5198948,4738094
2005-12,6.958333333333333,3.16,1310,3.8,0.6946666666666667,5.614612999999999,697971,5459877,4466814
2006-03,7.25,3.32,1346,4.1,0.6656666666666666,5.3686359999999995,729951,5128211,4738912
2006-06,7.25,3.98,1372,3.8,0.6233333333333333,5.004980333333333,466818,6052849,4175634
2006-09,7.25,3.54,1388,3.9,0.635,5.055799666666667,489200,5444878,4711716
2006-12,7.25,2.63,1430,3.9,0.6736666666666666,5.2985299999999995,735592,5781312,4989231
2007-03,7.291666666666667,2.54,1478,3.9,0.6956666666666667,5.3940649999999994,753520,5733060,4298434
2007-06,7.75,2,1540,3.7,0.7413333333333333,5.683518333333334,479482,6006553,4499733
2007-09,8.083333333333334,1.79,1571,3.6,0.744,5.613198333333333,506659,5628430,4918798
2007-12,8.25,3.18,1574,3.5,0.764,5.67565,726019,6138497,4854343
2008-03,8.25,3.37,1574,3.8,0.7906666666666667,5.6579543333333335,784834,6466208,4655986
2008-06,8.25,4.02,1541,3.9,0.776,5.403283333333333,462284,6788398,4894625
2008-09,8,5.07,1479,4.2,0.7133333333333334,4.883985,495927,6307834,5012878
2008-12,6.25,3.38,1458,4.6,0.5786666666666667,3.9667506666666665,715458,5771769,4936916
2009-03,3.4166666666666665,2.97,1427,5.1,0.533,3.647527333333333,727050,5706510,3697278
2009-06,2.6666666666666665,1.89,1433,5.9,0.6023333333333333,4.124100333333334,472961,7632909,3790507
2009-09,2.5,1.67,1464,6.4,0.6736666666666666,4.604096333333334,509723,7554003,4207359
2009-12,2.5,1.96,1498,6.8,0.7283333333333333,4.9627143333333334,748648,6501419,4525801
2010-03,2.5,2.05,1514,6.1,0.7093333333333333,4.836038,767770,7276276,4227784
2010-06,2.5416666666666665,1.67,1507,6.8,0.7013333333333333,4.786901,475123,8028841,4377280
2010-09,2.9583333333333335,1.46,1493,6.3,0.7173333333333333,4.8613946666666665,525142,7243287,4520807
2010-12,3,4.03,1485,6.4,0.7576666666666667,5.047656333333333,757009,7919081,4943518
2011-03,2.888888888888889,4.47,1484,6.2,0.756,4.978838666666666,749365,7635274,4552220
2011-06,2.5,5.28,1494,6.2,0.799,5.199979666666667,469787,8656770,4537651
2011-09,2.5,4.59,1504,6.2,0.8326666666666667,5.3423593333333335,571933,7808606,5123105
2011-12,2.5,1.85,1521,6.3,0.777,4.946310333333333,810359,7740885,4804128
2012-03,2.5,1.57,1528,6.6,0.8186666666666667,5.155302666666667,765851,7698408,4877407
2012-06,2.5,0.95,1556,6.6,0.7916666666666666,5.0032570000000005,487583,9332018,4118908
2012-09,2.5,0.77,1584,7.0,0.8083333333333333,5.141680333333333,530906,8599375,5317528
2012-12,2.5,0.95,1607.7,6.6,0.8236666666666667,5.141796666666667,780278,9161699,4829142
2013-03,2.5,0.86,1627.7,6.1,0.835,5.1963333333333335,812610,8395420,4751595
2013-06,2.5,0.68,1674,6.3,0.8216666666666667,5.057857,513102,9496172,4906091
2013-09,2.5,1.37,1717.3,6.0,0.7976666666666666,4.886648666666667,564058,9095163,5171248
2013-12,2.5,1.63,1768.3,5.9,0.8283333333333333,5.049343666666667,827925,9665134,5332221
2014-03,2.5555555555555554,1.53,1770.9,5.8,0.8363333333333333,5.103894333333333,847172,9458885,5231237
2014-06,3.013888888888889,1.62,1807.9,5.5,0.8616666666666667,5.366611666666667,547671,10204562,5160739
2014-09,3.4166666666666665,1.01,1827.2,5.5,0.8436666666666667,5.181512666666666,579034,8621994,5734397
2014-12,3.5,0.76,1854.9,5.7,0.782,4.806771,883523,9619520,5847981
2015-03,3.5,0.25,1906.8,5.7,0.7516666666666667,4.689094666666667,937673,8793721,5242763
2015-06,3.4444444444444446,0.42,1976.1,5.8,0.732,4.545026333333333,591624,9675017,5084948
2015-09,2.9722222222222223,0.42,2057.4,5.9,0.651,4.106565333333333,627847,8531501,5440489
2015-12,2.6944444444444446,0.08,2118.3,5.2,0.666,4.257542,974783,9250296,5524376
2016-03,2.4444444444444446,0.42,2114,5.5,0.6626666666666667,4.344044666666667,1061209,9428817,5511017
2016-06,2.25,0.42,2242.8,5.4,0.6906666666666667,4.510556333333334,646551,10708716,4680416
2016-09,2.111111111111111,0.42,2352.2,5.2,0.722,4.814507666666667,704142,10275917,5607504
2016-12,1.8611111111111112,1.34,2383.1,5.4,0.712,4.856417333333333,1088037,10146902,5679681
2017-03,1.75,2.17,2382.3,5.2,0.712,4.901559333333333,1104901,8670006,5610533
2017-06,1.75,1.74,2424.5,5.1,0.705,4.836211,751124,10740265,5692904
2017-09,1.75,1.9,2453.3,4.9,0.7303333333333333,4.8725863333333335,733682,10270055,6154846
2017-12,1.75,1.59,2540.4,4.7,0.6966666666666667,4.606626333333333,1144000,11092266,6399785
2018-03,1.75,1.1,2556.2,4.6,0.7276666666666667,4.623668666666666,1191011,10002076,6209920
2018-06,1.75,1.5,2562.7,4.8,0.705,4.495327,718234,10854160,5527325
2018-09,1.75,1.9,2566.2,4.1,0.6686666666666667,4.55252,755360,10957035,6627206
2018-12,1.75,1.89,2621.7,4.5,0.671,4.636151333333333,1198612,10821275,6392479
2019-03,1.75,1.48,2622.7,4.4,0.6816666666666668,4.598827666666667,1195550,10606711,6137760
2019-06,1.6111111111111112,1.67,2613.9,4.2,0.663,4.520002666666667,740276,11547002,5968963
2019-09,1.25,1.46,2627.7,4.3,0.6486666666666667,4.550092666666666,768486,11007291,6252601
2019-12,1,1.85,2726.5,4.3,0.6443333333333333,4.537321666666667,1184161,10402155,6344586
2020-03,0.875,2.53,2782.7,4.4,0.6353333333333333,4.434573333333334,959044,9874586,5930085
2020-06,0.375,1.45,2807.4,4.2,0.6176666666666667,4.382507,7431,9551649,4930853
2020-09,0.25,1.44,2827.4,5.4,0.662,4.579022666666667,13782,10577978,5737541
2020-12,0.25,1.44,3029.2,5.1,0.686,4.546989,16093,11379776,6346453
2021-03,0.25,1.52,3230.7,4.8,0.719,4.653246666666667,15384,10412001,5916959
