"Motor Vehicles Currently Licensed by Type (Annual-Mar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Cars","","","Rental Cars","","","Goods Service Vehicles Discontinued January 1991","","","Private Taxis","","","Public Taxis (Discontinued)","","","Omnibuses (after December 1989)","","","Service Coaches","","","Trailers (including Caravans)","","","Motor Cycles","","","Mopeds","","","Miscellaneous (Including Tractors)","","","Trade Plates - D (Discontinued)","","","Trade Plates - C (after December 1997)","","","Exempt Vehicles","","","Taxis","","","Omnibuses and Service Coaches","","","Light Trucks, Vans and Utilities (Discontinued after October 1995)","","","Heavy Trucks (Refer to V= Trucks)","","","Goods Service Cars Discontinued October 1993","","","Caravans (Starts 10.1993, Discontinued 10.1995)","","","Tractors (Starts October 1993)","","","Trucks (Starts November 1995)","","","Total Trade Plates Issued (Start Jan 1998.)","","","Total All Vehicles","",""
" ","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods"
1988,1276218,97120,1373338,8717,271,8988,277537,11624,289161,440,22,462,2243,118,2361,6805,137,6942,1221,14,1235,317472,30482,347954,76157,21156,97313,900,120,1020,33371,1558,34929,5045,0,5045,284,0,284,8955,1018,9973,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2015365,163640,2179005
1989,1267466,163339,1430805,7434,465,7899,270534,18691,289225,437,65,502,1989,271,2260,6858,296,7154,1153,66,1219,315324,25956,341280,65267,24192,89459,1017,194,1211,31369,1680,33049,5010,0,5010,282,0,282,7608,296,7904,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1981748,235511,2217259
1990,1281623,207715,1489338,7437,878,8315,271698,23624,295322,"..","..","..","..","..","..","..","..","..","..","..","..",340924,28165,369089,56714,24399,81113,979,234,1213,29476,1796,31272,5007,0,5007,611,0,611,7524,187,7711,2400,475,2875,8034,331,8365,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2012427,287804,2300231
1991,1276762,263047,1539809,7121,1162,8283,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",342616,26685,369301,49219,24327,73546,985,222,1207,16012,1290,17302,4899,0,4899,595,0,595,20379,1155,21534,2647,603,3250,6795,711,7506,208910,25742,234652,59270,4879,64149,2285,92,2377,"..","..","..","..","..","..","..","..","..","..","..","..",1998495,349915,2348410
1992,1250294,292618,1542912,7319,1119,8438,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",343220,25828,369048,42502,22940,65442,937,297,1234,15357,1330,16687,4588,0,4588,574,0,574,21564,1191,22755,2527,1045,3572,6723,605,7328,211103,31541,242644,58444,5849,64293,2208,145,2353,"..","..","..","..","..","..","..","..","..","..","..","..",1967360,384508,2351868
1993,1211990,350144,1562134,8102,1529,9631,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",341905,26941,368846,36049,24050,60099,821,325,1146,15035,1387,16422,4460,0,4460,573,0,573,20435,1241,21676,2375,1428,3803,7471,756,8227,213641,40691,254332,59003,6948,65951,1907,210,2117,"..","..","..","..","..","..","..","..","..","..","..","..",1923767,455650,2379417
1994,1218531,381968,1600499,9347,2003,11350,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",348017,26093,374110,34071,23734,57805,889,367,1256,25281,1918,27199,4667,0,4667,592,0,592,6432,608,7040,2573,1506,4079,7837,820,8657,225308,46008,271316,61928,7017,68945,"..","..","..",1229,22,1251,18908,1265,20173,"..","..","..","..","..","..",1945473,492042,2437515
1995,1261099,386035,1647134,11220,2144,13364,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",338449,23516,361965,33700,20691,54391,1040,468,1508,25336,1660,26996,5105,0,5105,611,0,611,6665,588,7253,3000,1453,4453,8254,855,9109,238275,46052,284327,65059,6447,71506,"..","..","..",1631,23,1654,18978,1011,19989,"..","..","..","..","..","..",1997813,489909,2487722
1996,1237218,398500,1635718,11418,2976,14394,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",317836,24005,341841,27902,19294,47196,1385,717,2102,30029,3231,33260,5953,0,5953,650,0,650,10465,1200,11665,3711,2022,5733,8249,999,9248,"..","..","..","..","..","..","..","..","..","..","..","..",17339,963,18302,291368,50878,342246,"..","..","..",1946184,503822,2450006
1997,1162517,512784,1675301,11259,4478,15737,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",279654,23717,303371,20108,18180,38288,5876,2549,8425,29370,3780,33150,6383,0,6383,700,0,700,11900,1233,13133,3647,2495,6142,8476,1521,9997,"..","..","..","..","..","..","..","..","..","..","..","..",17149,1027,18176,281384,65105,346489,"..","..","..",1821274,635842,2457116
1998,1198581,548078,1746659,9609,5353,14962,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",293150,23599,316749,24104,15026,39130,6057,2074,8131,31091,3029,34120,6226,681,6907,684,105,789,5825,705,6530,3649,2920,6569,9097,1744,10841,"..","..","..","..","..","..","..","..","..","..","..","..",18646,1096,19742,291923,65959,357882,"..","..",6979,1873086,668487,2541573
1999,1206641,624477,1831118,10531,6927,17458,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",317765,24539,342304,25083,17230,42313,5494,2202,7696,31580,3646,35226,"..","..","..","..","..","..",6099,696,6795,3640,3546,7186,9594,2034,11628,"..","..","..","..","..","..","..","..","..","..","..","..",18832,1099,19931,292330,74482,366812,"..","..",7383,1908757,759779,2668536
2000,1196932,680918,1877850,11954,8290,20244,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",336171,23229,359400,23877,17357,41234,5132,2356,7488,32523,3840,36363,"..","..","..","..","..","..",6779,683,7462,3688,3791,7479,9928,2336,12264,"..","..","..","..","..","..","..","..","..","..","..","..",19477,1049,20526,289869,79095,368964,"..","..",7540,1916853,821895,2738748
2001,1159261,750219,1909480,10899,9287,20186,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",346602,22392,368994,22217,17862,40079,5098,2493,7591,33212,4163,37375,"..","..","..","..","..","..",7374,593,7967,3502,3679,7181,10214,2453,12667,"..","..","..","..","..","..","..","..","..","..","..","..",20354,1023,21377,283385,81543,364928,"..","..",7218,1881764,894684,2776448
2002,1163994,796509,1960503,10778,10265,21043,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",359511,22403,381914,23285,16577,39862,5033,2528,7561,35842,4284,40126,"..","..","..","..","..","..",7721,583,8304,3415,3951,7366,10584,2755,13339,"..","..","..","..","..","..","..","..","..","..","..","..",21860,1054,22914,285054,81585,366639,"..","..",7510,1905217,941440,2846657
2003,1179158,830866,2010024,11233,12708,23941,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",369449,22557,392006,20820,17657,38477,5267,2745,8012,36993,5360,42353,"..","..","..","..","..","..",8301,565,8866,3397,4383,7780,11132,2901,14033,"..","..","..","..","..","..","..","..","..","..","..","..",23045,1122,24167,287516,83726,371242,"..","..",6516,1933266,983468,2916734
2004,1215163,898415,2113578,13443,12596,26039,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",381111,23424,404535,20485,19421,39906,5807,2957,8764,39922,5625,45547,"..","..","..","..","..","..",9084,592,9676,3322,4730,8052,11670,3115,14785,"..","..","..","..","..","..","..","..","..","..","..","..",24224,1346,25570,293623,92315,385938,"..","..",8072,1993630,1063190,3056820
2005,1265319,916186,2181505,13952,13632,27584,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",392929,23515,416444,22696,20407,43103,6831,3213,10044,42506,6186,48692,"..","..","..","..","..","..",9648,684,10332,3441,4635,8076,12241,3348,15589,"..","..","..","..","..","..","..","..","..","..","..","..",25418,1376,26794,305051,93587,398638,"..","..",8624,2074614,1085393,3160007
2006,1300864,940626,2241490,14624,13898,28522,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",403949,23285,427234,25776,22501,48277,9710,4256,13966,43819,7315,51134,"..","..","..","..","..","..",10524,781,11305,3431,4588,8019,12677,3712,16389,"..","..","..","..","..","..","..","..","..","..","..","..",26355,1267,27622,314062,95956,410018,"..","..",8643,2139436,1116918,3256354
